"ID","age","workclass","fnlwgt","marital-status","occupation","relationship","race","sex","capital-gain","capital-loss","hours-per-week","native-country"
"002177",40,"Private",193524,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,60,"United-States"
"002277",54,"Private",302146,"Separated","Other-service","Unmarried","Black","Female",0,0,20,"United-States"
"002377",35,"Federal-gov",76845,"Married-civ-spouse","Farming-fishing","Husband","Black","Male",0,0,40,"United-States"
"002477",43,"Private",117037,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,2042,40,"United-States"
"002577",59,"Private",109015,"Divorced","Tech-support","Unmarried","White","Female",0,0,40,"United-States"
"002677",56,"Local-gov",216851,"Married-civ-spouse","Tech-support","Husband","White","Male",0,0,40,"United-States"
"002777",19,"Private",168294,"Never-married","Craft-repair","Own-child","White","Male",0,0,40,"United-States"
"002877",54,,180211,"Married-civ-spouse",,"Husband","Asian-Pac-Islander","Male",0,0,60,"South"
"002977",39,"Private",367260,"Divorced","Exec-managerial","Not-in-family","White","Male",0,0,80,"United-States"
"003077",49,"Private",193366,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States"
"003177",23,"Local-gov",190709,"Never-married","Protective-serv","Not-in-family","White","Male",0,0,52,"United-States"
"003277",20,"Private",266015,"Never-married","Sales","Own-child","Black","Male",0,0,44,"United-States"
"003377",45,"Private",386940,"Divorced","Exec-managerial","Own-child","White","Male",0,1408,40,"United-States"
"003477",30,"Federal-gov",59951,"Married-civ-spouse","Adm-clerical","Own-child","White","Male",0,0,40,"United-States"
"003577",22,"State-gov",311512,"Married-civ-spouse","Other-service","Husband","Black","Male",0,0,15,"United-States"
"003677",48,"Private",242406,"Never-married","Machine-op-inspct","Unmarried","White","Male",0,0,40,"Puerto-Rico"
"003777",21,"Private",197200,"Never-married","Machine-op-inspct","Own-child","White","Male",0,0,40,"United-States"
"003877",19,"Private",544091,"Married-AF-spouse","Adm-clerical","Wife","White","Female",0,0,25,"United-States"
"003977",31,"Private",84154,"Married-civ-spouse","Sales","Husband","White","Male",0,0,38,
"004077",48,"Self-emp-not-inc",265477,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States"
"004177",31,"Private",507875,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,43,"United-States"
"004277",53,"Self-emp-not-inc",88506,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States"
"004377",24,"Private",172987,"Married-civ-spouse","Tech-support","Husband","White","Male",0,0,50,"United-States"
"004477",49,"Private",94638,"Separated","Adm-clerical","Unmarried","White","Female",0,0,40,"United-States"
"004577",25,"Private",289980,"Never-married","Handlers-cleaners","Not-in-family","White","Male",0,0,35,"United-States"
"004677",57,"Federal-gov",337895,"Married-civ-spouse","Prof-specialty","Husband","Black","Male",0,0,40,"United-States"
"004777",53,"Private",144361,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,38,"United-States"
"004877",44,"Private",128354,"Divorced","Exec-managerial","Unmarried","White","Female",0,0,40,"United-States"
"004977",41,"State-gov",101603,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States"
"005077",29,"Private",271466,"Never-married","Prof-specialty","Not-in-family","White","Male",0,0,43,"United-States"
"005177",25,"Private",32275,"Married-civ-spouse","Exec-managerial","Wife","Other","Female",0,0,40,"United-States"
"005277",18,"Private",226956,"Never-married","Other-service","Own-child","White","Female",0,0,30,
"005377",47,"Private",51835,"Married-civ-spouse","Prof-specialty","Wife","White","Female",0,1902,60,"Honduras"
"005477",50,"Federal-gov",251585,"Divorced","Exec-managerial","Not-in-family","White","Male",0,0,55,"United-States"
"005577",47,"Self-emp-inc",109832,"Divorced","Exec-managerial","Not-in-family","White","Male",0,0,60,"United-States"
"005677",43,"Private",237993,"Married-civ-spouse","Tech-support","Husband","White","Male",0,0,40,"United-States"
"005777",46,"Private",216666,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"Mexico"
"005877",35,"Private",56352,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,40,"Puerto-Rico"
"005977",41,"Private",147372,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,48,"United-States"
"006077",30,"Private",188146,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",5013,0,40,"United-States"
"006177",30,"Private",59496,"Married-civ-spouse","Sales","Husband","White","Male",2407,0,40,"United-States"
"006277",32,,293936,"Married-spouse-absent",,"Not-in-family","White","Male",0,0,40,
"006377",48,"Private",149640,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,40,"United-States"
"006477",42,"Private",116632,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,45,"United-States"
"006577",29,"Private",105598,"Divorced","Tech-support","Not-in-family","White","Male",0,0,58,"United-States"
"006677",36,"Private",155537,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States"
"006777",28,"Private",183175,"Divorced","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States"
"006877",53,"Private",169846,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,0,40,"United-States"
"006977",49,"Self-emp-inc",191681,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,50,"United-States"
"007077",25,,200681,"Never-married",,"Own-child","White","Male",0,0,40,"United-States"
"007177",19,"Private",101509,"Never-married","Prof-specialty","Own-child","White","Male",0,0,32,"United-States"
"007277",31,"Private",309974,"Separated","Sales","Own-child","Black","Female",0,0,40,"United-States"
"007377",29,"Self-emp-not-inc",162298,"Married-civ-spouse","Sales","Husband","White","Male",0,0,70,"United-States"
"007477",23,"Private",211678,"Never-married","Machine-op-inspct","Not-in-family","White","Male",0,0,40,"United-States"
"007577",79,"Private",124744,"Married-civ-spouse","Prof-specialty","Other-relative","White","Male",0,0,20,"United-States"
"007677",27,"Private",213921,"Never-married","Other-service","Own-child","White","Male",0,0,40,"Mexico"
"007777",40,"Private",32214,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,40,"United-States"
"007877",67,,212759,"Married-civ-spouse",,"Husband","White","Male",0,0,2,"United-States"
"007977",18,"Private",309634,"Never-married","Other-service","Own-child","White","Female",0,0,22,"United-States"
"008077",31,"Local-gov",125927,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,40,"United-States"
"008177",18,"Private",446839,"Never-married","Sales","Not-in-family","White","Male",0,0,30,"United-States"
"008277",52,"Private",276515,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,40,"Cuba"
"008377",46,"Private",51618,"Married-civ-spouse","Other-service","Wife","White","Female",0,0,40,"United-States"
"008477",59,"Private",159937,"Married-civ-spouse","Sales","Husband","White","Male",0,0,48,"United-States"
"008577",44,"Private",343591,"Divorced","Craft-repair","Not-in-family","White","Female",14344,0,40,"United-States"
"008677",53,"Private",346253,"Divorced","Sales","Own-child","White","Female",0,0,35,"United-States"
"008777",49,"Local-gov",268234,"Married-civ-spouse","Protective-serv","Husband","White","Male",0,0,40,"United-States"
"008877",33,"Private",202051,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,50,"United-States"
"008977",30,"Private",54334,"Never-married","Sales","Not-in-family","White","Male",0,0,40,"United-States"
"009077",43,"Federal-gov",410867,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,50,"United-States"
"009177",57,"Private",249977,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States"
"009277",37,"Private",286730,"Divorced","Craft-repair","Unmarried","White","Female",0,0,40,"United-States"
"009377",28,"Private",212563,"Divorced","Machine-op-inspct","Unmarried","Black","Female",0,0,25,"United-States"
"009477",30,"Private",117747,"Married-civ-spouse","Sales","Wife","Asian-Pac-Islander","Female",0,1573,35,
"009577",34,"Local-gov",226296,"Married-civ-spouse","Protective-serv","Husband","White","Male",0,0,40,"United-States"
"009677",29,"Local-gov",115585,"Never-married","Handlers-cleaners","Not-in-family","White","Male",0,0,50,"United-States"
"009777",48,"Self-emp-not-inc",191277,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1902,60,"United-States"
"009877",37,"Private",202683,"Married-civ-spouse","Sales","Husband","White","Male",0,0,48,"United-States"
"009977",48,"Private",171095,"Divorced","Exec-managerial","Unmarried","White","Female",0,0,40,"England"
"0010077",32,"Federal-gov",249409,"Never-married","Other-service","Own-child","Black","Male",0,0,40,"United-States"
"0010177",76,"Private",124191,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States"
"0010277",44,"Private",198282,"Married-civ-spouse","Exec-managerial","Husband","White","Male",15024,0,60,"United-States"
"0010377",47,"Self-emp-not-inc",149116,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,50,"United-States"
"0010477",20,"Private",188300,"Never-married","Tech-support","Own-child","White","Female",0,0,40,"United-States"
"0010577",29,"Private",103432,"Never-married","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States"
"0010677",32,"Self-emp-inc",317660,"Married-civ-spouse","Craft-repair","Husband","White","Male",7688,0,40,"United-States"
"0010777",17,,304873,"Never-married",,"Own-child","White","Female",34095,0,32,"United-States"
"0010877",30,"Private",194901,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,40,"United-States"
"0010977",31,"Local-gov",189265,"Never-married","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States"
"0011077",42,"Private",124692,"Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0,0,40,"United-States"
"0011177",24,"Private",432376,"Never-married","Sales","Other-relative","White","Male",0,0,40,"United-States"
"0011277",38,"Private",65324,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States"
"0011377",56,"Self-emp-not-inc",335605,"Married-civ-spouse","Other-service","Husband","White","Male",0,1887,50,"Canada"
"0011477",28,"Private",377869,"Married-civ-spouse","Sales","Wife","White","Female",4064,0,25,"United-States"
"0011577",36,"Private",102864,"Never-married","Machine-op-inspct","Own-child","White","Female",0,0,40,"United-States"
"0011677",53,"Private",95647,"Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0,0,50,"United-States"
"0011777",56,"Self-emp-inc",303090,"Married-civ-spouse","Sales","Husband","White","Male",0,0,50,"United-States"
"0011877",49,"Local-gov",197371,"Married-civ-spouse","Craft-repair","Husband","Black","Male",0,0,40,"United-States"
"0011977",55,"Private",247552,"Married-civ-spouse","Sales","Husband","White","Male",0,0,56,"United-States"
"0012077",22,"Private",102632,"Never-married","Craft-repair","Not-in-family","White","Male",0,0,41,"United-States"
"0012177",21,"Private",199915,"Never-married","Other-service","Own-child","White","Female",0,0,40,"United-States"
"0012277",40,"Private",118853,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,60,"United-States"
"0012377",30,"Private",77143,"Never-married","Exec-managerial","Own-child","Black","Male",0,0,40,"Germany"
"0012477",29,"State-gov",267989,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,50,"United-States"
"0012577",19,"Private",301606,"Never-married","Other-service","Own-child","Black","Male",0,0,35,"United-States"
"0012677",47,"Private",287828,"Married-civ-spouse","Exec-managerial","Wife","White","Female",0,0,40,"United-States"
"0012777",20,"Private",111697,"Never-married","Adm-clerical","Own-child","White","Female",0,1719,28,"United-States"
"0012877",31,"Private",114937,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,40,"United-States"
"0012977",35,,129305,"Married-civ-spouse",,"Husband","White","Male",0,0,40,"United-States"
"0013077",39,"Private",365739,"Divorced","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States"
"0013177",28,"Private",69621,"Never-married","Sales","Not-in-family","White","Female",0,0,60,"United-States"
"0013277",24,"Private",43323,"Never-married","Other-service","Not-in-family","White","Female",0,1762,40,"United-States"
"0013377",38,"Self-emp-not-inc",120985,"Married-civ-spouse","Craft-repair","Husband","White","Male",4386,0,35,"United-States"
"0013477",37,"Private",254202,"Married-civ-spouse","Sales","Husband","White","Male",0,0,50,"United-States"
"0013577",46,"Private",146195,"Divorced","Tech-support","Not-in-family","Black","Female",0,0,36,"United-States"
"0013677",38,"Federal-gov",125933,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"Iran"
"0013777",43,"Self-emp-not-inc",56920,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,60,"United-States"
"0013877",27,"Private",163127,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,0,35,"United-States"
"0013977",20,"Private",34310,"Never-married","Sales","Own-child","White","Male",0,0,20,"United-States"
"0014077",49,"Private",81973,"Married-civ-spouse","Craft-repair","Husband","Asian-Pac-Islander","Male",0,0,40,"United-States"
"0014177",61,"Self-emp-inc",66614,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States"
"0014277",27,"Private",232782,"Never-married","Sales","Own-child","White","Female",0,0,40,"United-States"
"0014377",19,"Private",316868,"Never-married","Other-service","Own-child","White","Male",0,0,30,"Mexico"
"0014477",45,"Private",196584,"Never-married","Prof-specialty","Not-in-family","White","Female",0,1564,40,"United-States"
"0014577",70,"Private",105376,"Never-married","Tech-support","Other-relative","White","Male",0,0,40,"United-States"
"0014677",31,"Private",185814,"Never-married","Transport-moving","Unmarried","Black","Female",0,0,30,"United-States"
"0014777",22,"Private",175374,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,24,"United-States"
"0014877",36,"Private",108293,"Widowed","Other-service","Unmarried","White","Female",0,0,24,"United-States"
"0014977",64,"Private",181232,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,2179,40,"United-States"
"0015077",43,,174662,"Divorced",,"Not-in-family","White","Female",0,0,40,"United-States"
"0015177",47,"Local-gov",186009,"Divorced","Adm-clerical","Unmarried","White","Female",0,0,38,"Mexico"
"0015277",34,"Private",198183,"Never-married","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States"
"0015377",33,"Private",163003,"Never-married","Exec-managerial","Other-relative","Asian-Pac-Islander","Female",0,0,40,"Philippines"
"0015477",21,"Private",296158,"Never-married","Craft-repair","Own-child","White","Male",0,0,35,"United-States"
"0015577",52,,252903,"Divorced",,"Not-in-family","White","Male",0,0,45,"United-States"
"0015677",48,"Private",187715,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,46,"United-States"
"0015777",23,"Private",214542,"Never-married","Handlers-cleaners","Not-in-family","White","Male",0,0,40,"United-States"
"0015877",71,"Self-emp-not-inc",494223,"Separated","Sales","Unmarried","Black","Male",0,1816,2,"United-States"
"0015977",29,"Private",191535,"Divorced","Craft-repair","Not-in-family","White","Male",0,0,60,"United-States"
"0016077",42,"Private",228456,"Separated","Other-service","Other-relative","Black","Male",0,0,50,"United-States"
"0016177",68,,38317,"Divorced",,"Not-in-family","White","Female",0,0,20,"United-States"
"0016277",25,"Private",252752,"Never-married","Other-service","Unmarried","White","Female",0,0,40,"United-States"
"0016377",44,"Self-emp-inc",78374,"Divorced","Exec-managerial","Unmarried","Asian-Pac-Islander","Female",0,0,40,"United-States"
"0016477",28,"Private",88419,"Never-married","Exec-managerial","Not-in-family","Asian-Pac-Islander","Female",0,0,40,"England"
"0016577",45,"Self-emp-not-inc",201080,"Married-civ-spouse","Sales","Husband","White","Male",0,0,40,"United-States"
"0016677",36,"Private",207157,"Divorced","Other-service","Unmarried","White","Female",0,0,40,"Mexico"
"0016777",39,"Federal-gov",235485,"Never-married","Exec-managerial","Not-in-family","White","Male",0,0,42,"United-States"
"0016877",46,"State-gov",102628,"Widowed","Protective-serv","Unmarried","White","Male",0,0,40,"United-States"
"0016977",18,"Private",25828,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,16,"United-States"
"0017077",66,"Local-gov",54826,"Widowed","Prof-specialty","Not-in-family","White","Female",0,0,20,"United-States"
"0017177",27,"Private",124953,"Never-married","Other-service","Not-in-family","White","Male",0,1980,40,"United-States"
"0017277",28,"State-gov",175325,"Married-civ-spouse","Protective-serv","Husband","White","Male",0,0,40,"United-States"
"0017377",51,"Private",96062,"Married-civ-spouse","Sales","Husband","White","Male",0,1977,40,"United-States"
"0017477",27,"Private",428030,"Never-married","Craft-repair","Not-in-family","White","Male",0,0,50,"United-States"
"0017577",28,"State-gov",149624,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States"
"0017677",27,"Private",253814,"Married-spouse-absent","Sales","Unmarried","White","Female",0,0,25,"United-States"
"0017777",21,"Private",312956,"Never-married","Craft-repair","Own-child","Black","Male",0,0,40,"United-States"
"0017877",34,"Private",483777,"Never-married","Handlers-cleaners","Not-in-family","Black","Male",0,0,40,"United-States"
"0017977",18,"Private",183930,"Never-married","Other-service","Own-child","White","Male",0,0,12,"United-States"
"0018077",33,"Private",37274,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,65,"United-States"
"0018177",44,"Local-gov",181344,"Married-civ-spouse","Exec-managerial","Husband","Black","Male",0,0,38,"United-States"
"0018277",43,"Private",114580,"Divorced","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States"
"0018377",30,"Private",633742,"Never-married","Craft-repair","Not-in-family","Black","Male",0,0,45,"United-States"
"0018477",40,"Private",286370,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"Mexico"
"0018577",37,"Federal-gov",29054,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,42,"United-States"
"0018677",34,"Private",304030,"Married-civ-spouse","Adm-clerical","Husband","Black","Male",0,0,40,"United-States"
"0018777",41,"Self-emp-not-inc",143129,"Divorced","Exec-managerial","Not-in-family","White","Female",0,0,40,"United-States"
"0018877",53,,135105,"Divorced",,"Not-in-family","White","Female",0,0,50,"United-States"
"0018977",31,"Private",99928,"Married-civ-spouse","Prof-specialty","Wife","White","Female",0,0,50,"United-States"
"0019077",58,"State-gov",109567,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,1,"United-States"
"0019177",38,"Private",155222,"Divorced","Machine-op-inspct","Not-in-family","Black","Female",0,0,28,"United-States"
"0019277",24,"Private",159567,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"United-States"
"0019377",41,"Local-gov",523910,"Married-civ-spouse","Craft-repair","Husband","Black","Male",0,0,40,"United-States"
"0019477",47,"Private",120939,"Married-civ-spouse","Tech-support","Husband","White","Male",0,0,45,"United-States"
"0019577",41,"Federal-gov",130760,"Married-civ-spouse","Tech-support","Husband","White","Male",0,0,24,"United-States"
"0019677",23,"Private",197387,"Married-civ-spouse","Transport-moving","Other-relative","White","Male",0,0,40,"Mexico"
"0019777",36,"Private",99374,"Divorced","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States"
"0019877",40,"Federal-gov",56795,"Never-married","Exec-managerial","Not-in-family","White","Female",14084,0,55,"United-States"
"0019977",35,"Private",138992,"Married-civ-spouse","Prof-specialty","Other-relative","White","Male",7298,0,40,"United-States"
"0020077",24,"Self-emp-not-inc",32921,"Never-married","Sales","Not-in-family","White","Male",0,0,40,"United-States"
"0020177",26,"Private",397317,"Never-married","Prof-specialty","Not-in-family","White","Female",0,1876,40,"United-States"
"0020277",19,,170653,"Never-married",,"Own-child","White","Male",0,0,40,"Italy"
"0020377",51,"Private",259323,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,50,"United-States"
"0020477",42,"Local-gov",254817,"Never-married","Prof-specialty","Not-in-family","White","Female",0,1340,40,"United-States"
"0020577",37,"State-gov",48211,"Divorced","Adm-clerical","Unmarried","White","Female",0,0,35,"United-States"
"0020677",18,"Private",140164,"Never-married","Sales","Own-child","White","Female",0,0,40,"United-States"
"0020777",36,"Private",128757,"Married-civ-spouse","Other-service","Husband","Black","Male",7298,0,36,"United-States"
"0020877",35,"Private",36270,"Divorced","Craft-repair","Not-in-family","White","Male",0,0,60,"United-States"
"0020977",58,"Self-emp-inc",210563,"Married-civ-spouse","Sales","Wife","White","Female",15024,0,35,"United-States"
"0021077",17,"Private",65368,"Never-married","Sales","Own-child","White","Female",0,0,12,"United-States"
"0021177",44,"Local-gov",160943,"Married-civ-spouse","Transport-moving","Husband","Black","Male",0,0,40,"United-States"
"0021277",37,"Private",208358,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States"
"0021377",35,"Private",153790,"Never-married","Sales","Not-in-family","Amer-Indian-Eskimo","Female",0,0,40,"United-States"
"0021477",60,"Private",85815,"Married-civ-spouse","Craft-repair","Husband","Asian-Pac-Islander","Male",0,0,40,"United-States"
"0021577",54,"Self-emp-inc",125417,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"United-States"
"0021677",37,"Private",635913,"Never-married","Exec-managerial","Not-in-family","Black","Male",0,0,60,"United-States"
"0021777",50,"Private",313321,"Divorced","Sales","Not-in-family","White","Female",0,0,40,"United-States"
"0021877",38,"Private",182609,"Married-civ-spouse","Sales","Husband","White","Male",0,0,50,"Poland"
"0021977",45,"Private",109434,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,55,"United-States"
"0022077",25,"Private",255004,"Never-married","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States"
"0022177",31,"Private",197860,"Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0,0,40,"United-States"
"0022277",64,,187656,"Divorced",,"Not-in-family","White","Male",0,0,40,"United-States"
"0022377",90,"Private",51744,"Never-married","Other-service","Not-in-family","Black","Male",0,2206,40,"United-States"
"0022477",54,"Private",176681,"Married-civ-spouse","Adm-clerical","Husband","Black","Male",0,0,20,"United-States"
"0022577",53,"Local-gov",140359,"Never-married","Machine-op-inspct","Not-in-family","White","Female",0,0,35,"United-States"
"0022677",18,"Private",243313,"Never-married","Sales","Own-child","White","Female",0,0,40,"United-States"
"0022777",60,,24215,"Divorced",,"Not-in-family","Amer-Indian-Eskimo","Female",0,0,10,"United-States"
"0022877",66,"Self-emp-not-inc",167687,"Married-civ-spouse","Farming-fishing","Husband","White","Male",1409,0,50,"United-States"
"0022977",75,"Private",314209,"Widowed","Adm-clerical","Not-in-family","White","Female",0,0,20,"Columbia"
"0023077",65,"Private",176796,"Divorced","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States"
"0023177",35,"Private",538583,"Separated","Transport-moving","Not-in-family","Black","Male",3674,0,40,"United-States"
"0023277",41,"Private",130408,"Divorced","Sales","Unmarried","Black","Female",0,0,38,"United-States"
"0023377",25,"Private",159732,"Never-married","Adm-clerical","Not-in-family","White","Male",0,0,42,"United-States"
"0023477",33,"Private",110978,"Divorced","Craft-repair","Other-relative","Other","Female",0,0,40,"United-States"
"0023577",28,"Private",76714,"Never-married","Prof-specialty","Not-in-family","White","Male",0,0,55,"United-States"
"0023677",59,"State-gov",268700,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,40,"United-States"
"0023777",40,"State-gov",170525,"Never-married","Adm-clerical","Not-in-family","White","Female",0,0,38,"United-States"
"0023877",41,"Private",180138,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,50,"Iran"
"0023977",38,"Local-gov",115076,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,70,"United-States"
"0024077",23,"Private",115458,"Never-married","Transport-moving","Own-child","White","Male",0,0,40,"United-States"
"0024177",40,"Private",347890,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States"
"0024277",41,"Self-emp-not-inc",196001,"Married-civ-spouse","Other-service","Wife","White","Female",0,0,20,"United-States"
"0024377",24,"State-gov",273905,"Married-civ-spouse","Protective-serv","Husband","White","Male",0,0,50,"United-States"
"0024477",20,,119156,"Never-married",,"Own-child","White","Male",0,0,20,"United-States"
"0024577",38,"Private",179488,"Divorced","Craft-repair","Not-in-family","White","Male",0,1741,40,"United-States"
"0024677",56,"Private",203580,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,35,
"0024777",58,"Private",236596,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,45,"United-States"
"0024877",32,"Private",183916,"Never-married","Other-service","Not-in-family","White","Female",0,0,34,"United-States"
"0024977",40,"Private",207578,"Married-civ-spouse","Tech-support","Husband","White","Male",0,1977,60,"United-States"
"0025077",45,"Private",153141,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,40,
"0025177",41,"Private",112763,"Married-civ-spouse","Prof-specialty","Wife","White","Female",0,0,40,"United-States"
"0025277",42,"Private",390781,"Married-civ-spouse","Adm-clerical","Wife","Black","Female",0,0,40,"United-States"
"0025377",59,"Local-gov",171328,"Widowed","Other-service","Unmarried","Black","Female",0,0,30,"United-States"
"0025477",19,"Local-gov",27382,"Never-married","Adm-clerical","Own-child","White","Male",0,0,40,"United-States"
"0025577",58,"Private",259014,"Never-married","Transport-moving","Not-in-family","White","Male",0,0,20,"United-States"
"0025677",42,"Self-emp-not-inc",303044,"Married-civ-spouse","Farming-fishing","Husband","Asian-Pac-Islander","Male",0,0,40,"Cambodia"
"0025777",20,"Private",117789,"Never-married","Other-service","Own-child","White","Female",0,0,40,"United-States"
"0025877",32,"Private",172579,"Separated","Other-service","Not-in-family","White","Female",0,0,30,"United-States"
"0025977",45,"Private",187666,"Widowed","Exec-managerial","Not-in-family","White","Female",0,0,45,"United-States"
"0026077",50,"Private",204518,"Divorced","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States"
"0026177",36,"Private",150042,"Divorced","Prof-specialty","Own-child","White","Female",0,0,40,"United-States"
"0026277",45,"Private",98092,"Married-civ-spouse","Sales","Husband","White","Male",0,0,60,"United-States"
"0026377",17,"Private",245918,"Never-married","Other-service","Own-child","White","Male",0,0,12,"United-States"
