Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Bhutan,South-East Asia,2666,345.512,6,0.778,2,3,0.389,0,0,0
Saint Barthélemy,Americas,1955,19777.441,229,2316.641,0,4,40.465,0,0,0
Anguilla,Americas,1674,11158.512,28,186.642,0,5,33.329,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Wallis and Futuna,Western Pacific,454,4036.991,0,0,0,7,62.244,0,0,0
Saint Pierre and Miquelon,Americas,98,1691.113,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas),Americas,82,2354.292,1,28.711,0,0,0,0,0,0
Saba,Americas,57,2948.784,34,1758.924,13,0,0,0,0,0
Sint Eustatius,Americas,55,1752.15,24,764.575,0,0,0,0,0,0
Montserrat,Americas,53,1060.212,8,160.032,0,1,20.004,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Solomon Islands,Western Pacific,24,3.494,2,0.291,0,0,0,0,0,0
Palau,Western Pacific,13,71.855,3,16.582,0,0,0,0,0,0
American Samoa,Western Pacific,11,19.929,0,0,0,0,0,0,0,0
Vanuatu,Western Pacific,7,2.279,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.757,0,0,0,0,0,0,0,0
Samoa,Western Pacific,2,1.008,0,0,0,0,0,0,0,0
Tonga,Western Pacific,1,0.946,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
